time,pos_x,pos_y,pos_z,pos_phi
66.521,228.769,-38.4204,72.4285,10
66.531,228.754,-38.808,72.3548,10
66.542,228.737,-39.2345,72.2738,10
66.552,228.723,-39.6225,72.2001,10
66.563,228.706,-40.0495,72.1189,10
66.574,228.691,-40.4767,72.0378,10
66.584,228.676,-40.8653,71.9639,10
66.595,228.661,-41.2929,71.8826,10
66.605,228.646,-41.6819,71.8087,10
66.616,228.631,-42.11,71.7273,10
66.629,228.613,-42.6163,71.631,10
66.64,228.599,-43.045,71.5495,10
66.65,228.585,-43.4349,71.4753,10
66.661,228.571,-43.8641,71.3936,10
66.676,228.552,-44.4498,71.2821,10
66.686,228.539,-44.8405,71.2077,10
66.697,228.525,-45.2706,71.1258,10
66.708,228.512,-45.7009,71.0438,10
66.718,228.5,-46.0923,70.9692,10
66.729,228.487,-46.5232,70.887,10
66.739,228.475,-46.9152,70.8123,10
66.75,228.463,-47.3466,70.7299,10
66.76,228.452,-47.7391,70.655,10
66.771,228.44,-48.1711,70.5725,10
66.781,228.43,-48.5641,70.4974,10
66.792,228.418,-48.9967,70.4147,10
66.802,228.408,-49.3902,70.3394,10
66.813,228.397,-49.8234,70.2565,10
66.824,228.387,-50.2569,70.1735,10
66.834,228.378,-50.6513,70.0979,10
66.845,228.368,-51.0854,70.0147,10
66.855,228.359,-51.4804,69.9389,10
66.866,228.35,-51.9152,69.8555,10
66.876,228.341,-52.3107,69.7795,10
66.887,228.333,-52.7461,69.6959,10
66.897,228.325,-53.1423,69.6197,10
66.915,228.312,-53.8561,69.4823,10
66.926,228.305,-54.2928,69.3981,10
66.936,228.299,-54.6901,69.3215,10
66.947,228.292,-55.1275,69.2371,10
66.958,228.285,-55.5653,69.1526,10
66.968,228.28,-55.9636,69.0756,10
66.979,228.274,-56.4021,68.9908,10
66.989,228.27,-56.8011,68.9136,10
67,228.265,-57.2403,68.8285,10
67.01,228.261,-57.6399,68.751,10
67.021,228.256,-58.0799,68.6656,10
67.031,228.253,-58.4803,68.5879,10
67.042,228.25,-58.9211,68.5022,10
67.052,228.247,-59.3221,68.4242,10
67.063,228.244,-59.7637,68.3382,10
67.074,228.242,-60.2057,68.252,10
