time,acc_theta1,acc_theta2,acc_d3,acc_theta4
65.307,0.131543,1.49228,1.95683e-14,1.62382
65.318,0.153962,1.46026,1.98028e-14,1.61422
65.328,0.174343,1.43115,2.0016e-14,1.6055
65.339,0.196763,1.39914,2.02505e-14,1.5959
65.349,0.217144,1.37003,2.04636e-14,1.58718
65.36,0.239563,1.33802,2.06981e-14,1.57758
65.37,0.259944,1.30891,2.09113e-14,1.56885
65.381,0.282364,1.27689,2.11458e-14,1.55926
65.391,0.302745,1.24779,2.13589e-14,1.55053
65.402,0.325164,1.21577,2.15934e-14,1.54094
65.412,0.345545,1.18667,2.18066e-14,1.53221
65.423,0.367965,1.15465,2.2041e-14,1.52262
65.433,0.388346,1.12555,2.22542e-14,1.51389
65.444,0.410765,1.09353,2.24887e-14,1.50429
65.455,0.433184,1.06151,2.27232e-14,1.4947
65.465,0.453566,1.03241,2.29363e-14,1.48597
65.476,0.475985,1.00039,2.31708e-14,1.47638
65.486,0.496366,0.971285,2.3384e-14,1.46765
65.497,0.518785,0.939269,2.36184e-14,1.45805
65.507,0.539167,0.910163,2.38316e-14,1.44933
65.518,-0.496148,0.901432,-1.59232,0.405284
65.528,-0.503972,0.930537,-1.57312,0.426566
65.539,-0.512578,0.962554,-1.552,0.449976
65.549,-0.520401,0.991659,-1.5328,0.471258
65.561,-0.52979,1.02659,-1.50976,0.496796
65.572,-0.538396,1.0586,-1.48864,0.520206
65.583,-0.547002,1.09062,-1.46752,0.543616
65.593,-0.554826,1.11972,-1.44832,0.564898
65.604,-0.563432,1.15174,-1.4272,0.588308
65.614,-0.571256,1.18085,-1.408,0.60959
65.625,-0.579862,1.21286,-1.38688,0.633
65.635,-0.587686,1.24197,-1.36768,0.654282
65.646,-0.596292,1.27398,-1.34656,0.677692
65.656,-0.604116,1.30309,-1.32736,0.698974
65.667,-0.612722,1.33511,-1.30624,0.722384
65.677,-0.620546,1.36421,-1.28704,0.743666
65.688,-0.629152,1.39623,-1.26592,0.767076
65.699,-0.637758,1.42824,-1.2448,0.790486
65.709,-0.645582,1.45735,-1.2256,0.811768
65.72,-0.654188,1.48937,-1.20448,0.835178
65.73,-0.662012,1.51847,-1.18528,0.85646
65.741,-0.670618,1.55049,-1.16416,0.87987
65.751,-0.678441,1.57959,-1.14496,0.901152
